Final product;Product Code;Year;Unit;Value;Type;Corresponding Item;Item Code (CPC);Country Expo;Global Expo
Rice and products;S2807;2022;millions of kcal;1955237549.82;vegetal;Rice;0113;0.1;0.9
Wheat and products;S2511;2022;millions of kcal;1881116088.54;vegetal;Wheat;0111;0.14;0.86
Sugar raw eq;S2542;2022;millions of kcal;613423273.530001;vegetal;Sugar Cane;01802;0.18;0.82
Milk - excl butter;S2848;2022;millions of kcal;505663716.93;animal;COMPOSED;;0.22;0.78
Corn and products;S2514;2022;millions of kcal;429386873.62;vegetal;Maize (corn);0112;0.26;0.74
Pork meat;S2733;2022;millions of kcal;395031918.7;animal;Meat of pig with the bone- fresh or chilled;21113.01;0.3;0.7
Vegetables - nec;S2605;2022;millions of kcal;385427144.52;vegetal;COMPOSED;;0.34;0.66
Soybean oil;S2571;2022;millions of kcal;270134825.52;vegetal;Soya beans;0141;0.38;0.62
Poultry meat;S2734;2022;millions of kcal;237518577.02;animal;Meat of chickens- fresh or chilled;21121;0.42;0.58
Potatoes and products;S2531;2022;millions of kcal;213196256.09;vegetal;Potatoes;01510;0.46;0.54
Palm oil;S2577;2022;millions of kcal;204949283.69;vegetal;Oil palm fruit;01491.01;0.5;0.5
Cassava and products;S2532;2022;millions of kcal;197045903.07;vegetal;Cassava- fresh;01520.01;0.54;0.46
Nuts;S2552;2022;millions of kcal;152098446.85;vegetal;COMPOSED;;0.58;0.42
Eggs;S2744;2022;millions of kcal;149226975.74;animal;Hen eggs in shell- fresh;0231;0.62;0.38
Bovine meat;S2731;2022;millions of kcal;139898462.6;animal;Meat of cattle with the bone- fresh or chilled;21111.01;0.66;0.34
Fruits - nec;S2625;2022;millions of kcal;136680232.19;vegetal;COMPOSED;;0.7;0.3
Oil - nec;S2586;2022;millions of kcal;124498123.29;vegetal;COMPOSED;;0.74;0.26
Legumenes;S2549;2022;millions of kcal;117740019.83;vegetal;COMPOSED;;0.78;0.22
Sorgho and products;S2518;2022;millions of kcal;115045618.06;vegetal;Sorghum;0114;0.82;0.18
Sunflower oil;S2573;2022;millions of kcal;111782314.14;vegetal;Sunflower seed;01445;0.86;0.14
Rapeseed oil;S2574;2022;millions of kcal;108660438.27;vegetal;Rape or colza seed;01443;0.9;0.1
Others;XXX;2022;millions of kcal;2023607480.72;other;COMPOSED;;;
